Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
10136;Формат??;Формат??;Центр 153;СК-42;N-36-030-Г-г;6106122.00;6494350.30;220.90 ;2.81;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 74-Г-г;6093301.66;P1277349.50;6096241.05;P2085759.81;СК-95*;6106120.64;6494352.62;223.71;None;BL-95;32°54'41.6863";55°04'43.9185";ПЗ-90;3072286.02;1988284.15;5206607.58;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
11020;N3609210 2;Kолковичи, сигн. 25.2 м;Центр 1;СК-42;N-36-030-Б-в;6116071.44;6485792.42;218.91 ;2.78;BL-42;55°10'05.0791";32°46'37.4044";3.55;CK-63/42;P-45- 74-Г-а;6103187.57;P1268718.20;6106492.06;P2077558.29;СК-95;6116070.12;6485794.94;221.69;None;BL-95;32°46'37.5470";55°10'05.0366";ПЗ-90;3070093.86;1976656.35;5212284.41;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
11168;N3609321 3;Cвищево, сигн. 17.9 м;Центр 1;СК-42;N-36-030-Г-г;6106393.56;6495359.36;221.30 ;2.83;BL-42;55°04'52.7815";32°55'38.4150";3.59;CK-63/42;P-45- 74-Г-г;6093580.67;P1278356.53;6096476.66;P2086778.22;СК-95;6106392.22;6495361.68;224.13;None;BL-95;32°55'38.5458";55°04'52.7382";ПЗ-90;3071550.25;1989009.54;5206764.06;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
11266;N3609316 3;Попово, сигн. 9.3 м;Центр 1;СК-42;N-36-030-В-б;6115675.56;6480220.37;224.90 ;2.69;BL-42;55°09'51.5895";32°41'22.7394";3.51;CK-63/42;P-45- 74-В-б;6102750.46;P1263149.24;6106294.60;P2071973.60;СК-95;6115674.26;6480222.93;227.59;None;BL-95;32°41'22.8844";55°09'51.5478";ПЗ-90;3073396.93;1972157.33;5212050.98;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
12433;N3609102 1;Горки, сигн. 13.0 (40) м;Центр 58оп;СК-42;N-36-042-А-б;6093722.23;6479378.25;237.06 ;2.55;BL-42;54°58'01.5661";32°40'40.8855";3.47;CK-63/42;P-44- 74-А-б;6080791.57;P1262469.44;6084376.57;P2070351.26;СК-95;6093720.74;6479380.47;239.61;None;BL-95;32°40'41.0107";54°58'01.5183";ПЗ-90;3088954.98;1981256.25;5199486.99;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
12926;N3609215 2;Kлемятино, сигн. 27.8 м;Центр 1оп;СК-42;N-36-030-Г-г;6098043.56;6495052.64;216.28 ;2.75;BL-42;55°00'22.7538";32°55'21.6463";3.57;CK-63/42;P-44- 74-Б-б;6085228.56;P1278111.53;6088140.09;P2086174.87;СК-95;6098042.28;6495054.92;219.03;None;BL-95;32°55'21.7747";55°00'22.7125";ПЗ-90;3077454.44;1992477.99;5201975.43;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
13204;N3609340 3;Перелесь, сигн. 29.1 м;Центр 2оп Марка № 2815;СК-42;N-36-042-Б-а;6092039.05;6485765.16;186.50 ;2.60;BL-42;54°57'07.9393";32°46'40.1799";3.51;CK-63/42;P-44- 74-Б-а;6079155.59;P1268868.59;6082467.07;P2076676.81;СК-95;6092037.62;6485767.45;189.10;None;BL-95;32°46'40.3088";54°57'07.8933";ПЗ-90;3086616.05;1987353.30;5198493.50;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
13842;N3609338 3;Днепр, сигн. 30.1 м;Центр 2оп Марка № 4233;СК-42;N-36-042-Б-б;6094020.16;6492479.44;175.89 ;2.69;BL-42;54°58'12.5307";32°52'57.2504";3.55;CK-63/42;P-44- 74-Б-б;6081186.23;P1275568.09;6084209.26;P2083459.56;СК-95;6094018.79;6492481.71;178.58;None;BL-95;32°52'57.3782";54°58'12.4865";ПЗ-90;3081599.08;1992101.30;5199631.72;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
14437;N3609320 3;Xоблино, сигн. 11.0 м;Центр 1;СК-42;N-36-030-Г-б;6111035.71;6497446.04;220.07 ;2.93;BL-42;55°07'22.9494";32°57'35.8876";3.62;CK-63/42;P-45- 74-Г-б;6098238.18;P1280408.84;6101043.16;P2089029.32;СК-95;6111034.26;6497448.35;223.00;None;BL-95;32°57'36.0180";55°07'22.9026";ПЗ-90;3067220.59;1988685.98;5209419.97;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
16031;N3609333 3;Mинино, сигн. 13.0 м;Центр 1оп;СК-42;N-36-042-А-а;6095333.54;6471591.09;215.41 ;2.50;BL-42;54°58'52.2933";32°33'22.6204";3.43;CK-63/42;P-44- 74-А-а;6082345.32;P1254670.64;6086264.05;P2062623.07;СК-95;6095332.08;6471593.47;217.91;None;BL-95;32°33'22.7548";54°58'52.2465";ПЗ-90;3092064.63;1973990.66;5200369.60;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
16711;N3609213 2;Kрасный Бор, сигн. 27.8 м;Центр 1;СК-42;N-36-030-В-в;6099217.48;6468639.98;236.47 ;2.49;BL-42;55°00'57.2494";32°30'35.1609";3.42;CK-63/42;P-44- 74-А-а;6086207.31;P1251690.95;6090252.03;P2059810.54;СК-95;6099216.09;6468642.37;238.96;None;BL-95;32°30'35.2960";55°00'57.2050";ПЗ-90;3091007.12;1969784.95;5202603.41;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
16773;N3610100 1;Xолмец, сигн. 17.1 м (36 м до столика);Центр 53оп Марка № 3172;СК-42;N-36-031-В-а;6106892.27;6500943.10;234.39 ;2.95;BL-42;55°05'08.9832";33°00'53.1669";3.63;CK-63/42;P-45- 75-В-в;6094120.66;P1283936.50;6096776.70;P2092377.92;СК-95;6106890.93;6500945.27;237.34;None;BL-95;33°00'53.2892";55°05'08.9398";ПЗ-90;3068173.25;1993474.39;5207061.68;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
16954;N3609211 2;Hизова, сигн. 17.0 м;Центр 1;СК-42;N-36-030-В-а;6112648.00;6469048.93;256.02 ;2.54;BL-42;55°08'11.6317";32°30'52.9254";3.43;CK-63/42;P-45- 74-В-а;6099640.33;P1252000.59;6103665.29;P2060696.96;СК-95;6112646.56;6469051.49;258.56;None;BL-95;32°30'53.0705";55°08'11.5857";ПЗ-90;3081559.06;1964137.02;5210309.89;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
17105;N3609314 3;Kулагино, сигн. 18.7 м;Центр 1;СК-42;N-36-030-А-в;6118374.57;6473400.42;232.84 ;2.64;BL-42;55°11'17.7147";32°34'56.6095";3.46;CK-63/42;P-45- 74-А-в;6105398.89;P1256309.53;6109235.74;P2065251.35;СК-95;6118373.23;6473403.03;235.48;None;BL-95;32°34'56.7575";55°11'17.6719";ПЗ-90;3075245.11;1965225.53;5213578.43;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
