Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;Nomenklatura2;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
12673;P3629208 2;Pогачево, сигн. 31.2 м;Центр 37;СК-42;P-36-105-В-в;6768855.72;6554894.19;Hn= 132.4  ;G98=  1.70;BL-42;61°01'31.0569";34°00'55.2910";G87=  2.12;CK-63/42;C-64- 42-В-в;6757374.32;C4253533.64;6760927.57;C5091374.41;СК-95;6768857.50;6554894.63;Hg= 133.78;EGM=  1.38;BL-95;34°00'55.3221";61°01'31.1141";ПЗ-90.02;2567733.93;1732815.24;5556840.81;ПЗ-90.02;2567733.93;1732815.24;5556840.81;WGS-84;2567734.61;1732815.73;5556842.53;BL-WGS;61°01'31.4016";34°00'47.3010";Hw= 147.33;Gwg= 14.93
13216;P3629305 3;;Центр;СК-42;P-36-105-В-г;6770386.73;6564617.57;Hn= 114.40 ;G98=  1.81;BL-42;61°02'15.2073";34°11'44.4585";G87=  2.12;CK-63/42;C-64- 42-В-г;6758764.06;C4263277.78;6761869.83;C5101174.81;СК-95;6770388.54;6564618.03;Hg= 115.85;EGM=  1.45;BL-95;34°11'44.4914";61°02'15.2655";ПЗ-90.02;2561271.05;1740211.02;5557487.03;ПЗ-90.02;2561271.05;1740211.02;5557487.03;WGS-84;2561271.72;1740211.52;5557488.75;BL-WGS;61°02'15.5645";34°11'36.4784";Hw= 129.22;Gwg= 14.81
14326;P3629307 3;;Центр;СК-42;P-36-105-Г-в;6769448.18;6569110.04;Hn= 142.10 ;G98=  1.84;BL-42;61°01'42.1513";34°16'42.4164";G87=  2.12;CK-63/42;C-64- 42-Г-в;6757760.49;C4267755.93;6760661.89;C5105603.45;СК-95;6769450.06;6569110.55;Hg= 143.58;EGM=  1.48;BL-95;34°16'42.4528";61°01'42.2117";ПЗ-90.02;2559505.12;1744420.79;5557015.78;ПЗ-90.02;2559505.12;1744420.79;5557015.78;WGS-84;2559505.78;1744421.30;5557017.50;BL-WGS;61°01'42.5153";34°16'34.4475";Hw= 156.86;Gwg= 14.75
16061;P3629304 3;;Центр;СК-42;P-36-105-В-г;6773749.31;6561551.95;Hn= 152.80 ;G98=  1.79;BL-42;61°04'05.5851";34°08'24.1927";G87=  2.15;CK-63/42;C-64- 42-В-б;6762170.61;C4260261.42;6765411.95;C5098316.88;СК-95;6773751.19;6561552.45;Hg= 154.24;EGM=  1.44;BL-95;34°08'24.2282";61°04'05.6456";ПЗ-90.02;2560500.33;1736055.95;5559174.31;ПЗ-90.02;2560500.33;1736055.95;5559174.31;WGS-84;2560501.00;1736056.45;5559176.04;BL-WGS;61°04'05.9429";34°08'16.2039";Hw= 167.67;Gwg= 14.86
16102;P3629321 3;;Центр;СК-42;P-36-117-Б-б;6761394.67;6576584.06;Hn= 110.40 ;G98=  1.92;BL-42;60°57'17.0778";34°24'48.4132";G87=  2.19;CK-63/42;C-63- 42-Б-б;6749599.93;C4275111.95;6752171.10;C5112579.81;СК-95;6761396.52;6576584.54;Hg= 111.92;EGM=  1.52;BL-95;34°24'48.4478";60°57'17.1372";ПЗ-90.02;2561294.69;1754493.26;5553009.17;ПЗ-90.02;2561294.69;1754493.26;5553009.17;WGS-84;2561295.35;1754493.77;5553010.89;BL-WGS;60°57'17.4449";34°24'40.4699";Hw= 125.05;Gwg= 14.64
17554;P3629326 3;;Центр;СК-42;P-36-117-Г-б;6747133.99;6574930.15;Hn= 166.80 ;G98=  2.06;BL-42;60°49'37.6242";34°22'38.6632";G87=  2.46;CK-63/42;C-63- 42-Б-г;6735365.61;C4273251.74;6738033.53;C5110069.93;СК-95;6747135.77;6574930.57;Hg= 168.42;EGM=  1.62;BL-95;34°22'38.6935";60°49'37.6814";ПЗ-90.02;2572675.75;1759913.12;5546140.08;ПЗ-90.02;2572675.75;1759913.12;5546140.08;WGS-84;2572676.42;1759913.63;5546141.80;BL-WGS;60°49'37.9799";34°22'30.7459";Hw= 181.56;Gwg= 14.76
17597;P3629219 2;Эйнозеро, сигн. 31.2 м;Центр 2оп Марка № 11091;СК-42;P-36-117-В-а;6740196.15;6559086.02;Hn= 156.1  ;G98=  1.93;BL-42;60°46'03.1255";34°05'02.8121";G87=  2.58;CK-63/42;C-63- 42-В-б;6728658.16;C4257309.68;6732060.00;C5093833.72;СК-95;6740197.85;6559086.50;Hg= 157.52;EGM=  1.42;BL-95;34°05'02.8456";60°46'03.1802";ПЗ-90.02;2586447.05;1749965.89;5542891.19;ПЗ-90.02;2586447.05;1749965.89;5542891.19;WGS-84;2586447.73;1749966.40;5542892.90;BL-WGS;60°46'03.4577";34°04'54.8946";Hw= 170.96;Gwg= 14.85
18565;P3628319 3;;Центр;СК-42;P-36-104-Г-г;6773945.26;6551921.66;Hn= 122.50 ;G98=  1.71;BL-42;61°04'16.9087";33°57'42.3676";G87=  2.14;CK-63/42;C-64- 42-В-а;6762506.27;C4250635.36;6766188.55;C5088713.44;СК-95;6773947.03;6551922.10;Hg= 123.89;EGM=  1.39;BL-95;33°57'42.3987";61°04'16.9657";ПЗ-90.02;2565623.84;1727900.66;5559317.26;ПЗ-90.02;2565623.84;1727900.66;5559317.26;WGS-84;2565624.51;1727901.15;5559318.98;BL-WGS;61°04'17.2524";33°57'34.3622";Hw= 137.50;Gwg= 15.00
18746;P3628215 2;Kаллиж, сигн. 31.3 м;Центр 53оп;СК-42;P-36-104-Г-г;6771484.44;6548204.44;Hn= 147.7  ;G98=  1.65;BL-42;61°02'59.1185";33°53'32.2873";G87=  2.11;CK-63/42;C-64- 41-Г-г;6760099.72;C4246882.94;6763670.04;C3408916.98;СК-95;6771486.21;6548204.88;Hg= 149.06;EGM=  1.36;BL-95;33°53'32.3182";61°02'59.1755";ПЗ-90.02;2569476.37;1725970.66;5558174.13;ПЗ-90.02;2569476.37;1725970.66;5558174.13;WGS-84;2569477.04;1725971.15;5558175.85;BL-WGS;61°02'59.4568";33°53'24.2830";Hw= 162.74;Gwg= 15.04
18826;P3629207 2;Заозерье, сигн. 27.2 м;Центр 37;СК-42;P-36-105-В-б;6775625.09;6566667.98;Hn= 128.8 г;G98=  1.82;BL-42;61°05'03.1735";34°14'07.5925";G87=  2.16;CK-63/42;C-64- 42-Г-а;6763971.86;C4265403.88;6766976.10;C5103537.89;СК-95;6775627.00;6566668.46;Hg= 130.28;EGM=  1.48;BL-95;34°14'07.6269";61°05'03.2349";ПЗ-90.02;2556306.80;1739432.02;5560015.50;ПЗ-90.02;2556306.80;1739432.02;5560015.50;WGS-84;2556307.46;1739432.52;5560017.23;BL-WGS;61°05'03.5389";34°13'59.6045";Hw= 143.61;Gwg= 14.81
